ID,Airline Name,Verified,Date Flown,Value For Money,Recommend
508,Aeromar,FALSE,December 2015,1,no
509,Aeromar,FALSE,April 2012,4,yes
510,Aeromexico,FALSE,July 2023,1,no
511,Aeromexico,FALSE,June 2023,2,no
512,Aeromexico,TRUE,June 2023,1,no
513,Aeromexico,FALSE,June 2023,1,no
514,Aeromexico,FALSE,June 2023,1,no
515,Aeromexico,TRUE,May 2023,2,no
516,Aeromexico,TRUE,March 2023,2,no
517,Aeromexico,TRUE,March 2023,1,no
518,Aeromexico,TRUE,May 2023,2,no
519,Aeromexico,FALSE,May 2023,1,no
520,Aeromexico,TRUE,May 2023,1,no
521,Aeromexico,TRUE,March 2023,1,no
522,Aeromexico,FALSE,April 2023,1,no
523,Aeromexico,TRUE,April 2023,3,no
524,Aeromexico,TRUE,May 2023,1,no
525,Aeromexico,TRUE,May 2023,3,no
526,Aeromexico,FALSE,May 2023,2,yes
527,Aeromexico,TRUE,April 2023,4,yes
528,Aeromexico,FALSE,April 2023,2,no
529,Aeromexico,TRUE,April 2023,1,no
530,Aeromexico,FALSE,January 2023,1,no
531,Aeromexico,TRUE,April 2023,5,no
532,Aeromexico,TRUE,April 2023,1,no
533,Aeromexico,TRUE,March 2023,1,no
534,Aeromexico,FALSE,March 2023,1,no
535,Aeromexico,TRUE,March 2023,1,no
536,Aeromexico,TRUE,March 2023,1,no
537,Aeromexico,TRUE,August 2022,1,no
538,Aeromexico,TRUE,December 2022,1,no
539,Aeromexico,TRUE,February 2023,1,no
540,Aeromexico,TRUE,February 2023,1,no
541,Aeromexico,TRUE,February 2023,1,no
542,Aeromexico,TRUE,October 2022,1,no
